OrderNumber,Name,Address1,Address2,City,State,Postcode,CountryCode,ParcelCount,ConsignmentWeight,ProductTypeDescription,ProductUnitValue,ProductItemOrigin,ProductHarmonizedCode,ProductUnitWeight,ProductQuantity,ProductDescription,ProductFabricContent,EndContactEmail,ProductCode,EndContactPhone,EndContactMobile,HAWBNumber,ParcelIndex,ServiceCode,CustomerCode,CustomerNumber,ParcelWeight,SendersName,SenderAddressLine1,SenderAddressLine2,SendersAddressLine3,SendersAddressLine4,SendersPostcode,SendersCountryCode,CurrencyCode,ContainerID,OrderDate,RouteDestinationAirport,InvoiceFileName,ParcelCIFValue,Width,Length,Height,Incoterms,Misc1,UPCCode,MasterAirwayBillNumber,DepartingPortCode,FirmsCode
12345678,Jason Mitchell,859 Elm Ave,.,Long Beach,CA,90802,US,1,3.36,Mens Casual,69.54,BD,6204430000,0.56,3,Mesh Insert Cut Out Skater D,Woven: Body 100.00% Polyester.,jasonmitchell@aol.com,336696312,2958682846,5163119785,WU00001626,1,ECCF,Retailer1,RET1,3.36,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,USD,US_97134546,04-08-2026,JFK,12345678.pdf,64.24,20,23,3,DDP,12345,849621470,695-11090645,LHR,E170
12345678,Jason Mitchell,859 Elm Ave,.,Long Beach,CA,90802,US,1,3.36,Womens Shoes,44.13,IN,6403990000,1.68,1,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,jasonmitchell@aol.com,919795579,2958682846,5163119785,WU00001626,2,ECCF,Retailer1,RET1,3.36,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,USD,US_97134546,04-08-2026,JFK,12345678.pdf,64.24,16,12,5,DDU,12345,203848421,695-11090645,LHR,E170
12345679,Amanda Perry,370 Cedar Ave,.,Newark,NJ,07102,US,1,0.45,Mens Shirt,118.3,CN,6205200000,0.45,1,Oxford Button Down Shirt,Woven: Body 100.0% Cotton,amandaperry@gmail.com,508157429,5134174160,4303082117,WU00001627,1,ECCF,Retailer3,RET1,0.45,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,USD,US_97134546,01-22-2026,JFK,12345679.pdf,5.86,14,35,23,DDU,12345,274648506,695-11090645,LHR,E170
12345680,Amanda Perry,786 Elm Ave,.,Brooklyn,NY,11201,US,1,1.18,Mens Casual,31.34,VN,6204430000,1.18,1,Mesh Insert Cut Out Skater D,Woven: Body 100.00% Polyester.,amandaperry@gmail.com,530747414,8911165043,7030002177,WU00001628,1,ECCF,Retailer3,RET3,1.18,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,EUR,US_97134546,04-22-2026,JFK,12345680.pdf,17.86,14,10,9,DDU,12345,328306011,695-11090645,LHR,E170
12345681,Jason Flores,758 2nd Ave,.,Queens,NY,11375,US,1,2.47,Womens Bags,91.91,IN,4202290000,1.24,1,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,jasonflores@aol.com,773715057,3137651678,7354224376,WU00001629,1,ECCF,Retailer3,RET2,2.47,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,USD,US_97134546,04-05-2026,JFK,12345681.pdf,47.45,11,33,22,DDP,12345,513140753,695-11090645,LHR,E170
12345681,Jason Flores,758 2nd Ave,.,Queens,NY,11375,US,1,2.47,Womens Shoes,73.53,VN,6403990000,0.62,2,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,jasonflores@aol.com,694021782,3137651678,7354224376,WU00001629,2,ECCF,Retailer3,RET2,2.47,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,USD,US_97134546,04-05-2026,JFK,12345681.pdf,47.45,6,13,24,DDU,12345,925276600,695-11090645,LHR,E170
12345682,Jason Coleman,400 2nd Ave,.,New York,NY,10001,US,1,3.45,Womans Bafs,67.03,CN,6103410000,0.58,3,Wool Pocket Carrot Trousers,Knitted: Fabric 50.0% Wool; 30.0% Viscose,jasoncoleman@aol.com,743111853,3948728483,7426214626,WU00001630,1,CFS,Retailer3,RET2,3.45,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,EUR,US_97134546,10-07-2026,JFK,12345682.pdf,39.2,16,37,3,DDP,12345,489747629,695-11090645,LHR,E170
12345682,Jason Coleman,400 2nd Ave,.,New York,NY,10001,US,1,3.45,Mens Shirt,32.54,CN,6205200000,1.73,1,Oxford Button Down Shirt,Woven: Body 100.0% Cotton,jasoncoleman@aol.com,191969690,3948728483,7426214626,WU00001630,2,CFS,Retailer3,RET2,3.45,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,EUR,US_97134546,10-07-2026,JFK,12345682.pdf,39.2,29,37,5,DDP,12345,237859287,695-11090645,LHR,E170
12345683,Stephanie Flores,269 Elm Ave,.,Evanston,IL,60201,US,1,0.99,Kids Tshirt,7.42,IN,6109100000,0.33,3,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,stephanieflores@yahoo.com,731832764,6141907136,9538806611,WU00001631,1,ECCF,Retailer2,RET3,0.99,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,GBP,US_97134546,02-08-2026,JFK,12345683.pdf,12.81,13,6,5,DDP,12345,345824373,695-11090645,LHR,E170
12345684,Tom Stefanello,172 3rd Ave,.,Naperville,IL,60540,US,1,0.68,Womens Shoes,45.74,BD,6403990000,0.11,2,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,tomstefanello@aol.com,882839238,7491018043,4084839399,WU00001632,1,ECCF,Retailer1,RET2,0.68,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,GBP,US_97134546,04-04-2026,JFK,12345684.pdf,6.89,7,12,4,DDU,12345,881913386,695-11090645,LHR,E170
12345684,Tom Stefanello,172 3rd Ave,.,Naperville,IL,60540,US,1,0.68,Kids Tshirt,97.07,IN,6109100000,0.23,1,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,tomstefanello@aol.com,305718272,7491018043,4084839399,WU00001632,2,ECCF,Retailer1,RET2,0.68,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,GBP,US_97134546,04-04-2026,JFK,12345684.pdf,6.89,12,40,17,DDP,12345,552991960,695-11090645,LHR,E170
12345684,Tom Stefanello,172 3rd Ave,.,Naperville,IL,60540,US,1,0.68,Womans Bafs,37.03,CN,6103410000,0.23,1,Wool Pocket Carrot Trousers,Knitted: Fabric 50.0% Wool; 30.0% Viscose,tomstefanello@aol.com,575808013,7491018043,4084839399,WU00001632,3,ECCF,Retailer1,RET2,0.68,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,GBP,US_97134546,04-04-2026,JFK,12345684.pdf,6.89,23,12,4,DDP,12345,200140141,695-11090645,LHR,E170
12345685,Heather Foster,516 2nd Ave,.,Elk Grove,IL,60007,US,1,0.82,Mens Jacket,22.8,IN,6201930000,0.41,2,Padded Bomber Jacket,Woven: Shell 100.0% Nylon; Lining 100.0% Polyester,heatherfoster@yahoo.com,162795957,7213004929,8017422213,WU00001633,1,ECCF,Retailer2,RET2,0.82,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134546,07-23-2026,JFK,12345685.pdf,23.83,24,40,4,DDU,12345,161380746,695-11090645,LHR,E170
12345686,Gary Simmons,614 Cedar Ave,.,Anaheim,CA,92801,US,1,0.4,Womens Bags,53.21,VN,4202290000,0.13,3,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,garysimmons@aol.com,379995032,6539263200,4181106786,WU00001634,1,CFS,Retailer2,RET1,0.4,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,EUR,US_97134546,04-19-2026,JFK,12345686.pdf,8.43,12,26,10,DDU,12345,524971817,695-11090645,LHR,E170
12345687,James Barnes,423 Cedar Ave,.,Anaheim,CA,92801,US,1,4.48,Kids Tshirt,37.77,VN,6109100000,2.24,2,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,jamesbarnes@gmail.com,756783995,2040009587,8962825965,WU00001635,1,CFS,Retailer3,RET2,4.48,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,USD,US_97134546,06-03-2026,JFK,12345687.pdf,122.5,26,39,3,DDU,12345,812308209,695-11090645,LHR,E170
12345688,Sarah Carter,218 Main Ave,.,Pasadena,CA,91101,US,1,1.61,Mens Shirt,10.07,IN,6205200000,0.4,2,Oxford Button Down Shirt,Woven: Body 100.0% Cotton,sarahcarter@aol.com,784095277,3169726681,4597724331,WU00001636,1,ECCF,Retailer3,RET2,1.61,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,USD,US_97134546,01-03-2026,JFK,12345688.pdf,35.35,14,16,17,DDU,12345,702269164,695-11090645,LHR,E170
12345688,Sarah Carter,218 Main Ave,.,Pasadena,CA,91101,US,1,1.61,Mens Casual,17.87,IN,6204430000,0.27,3,Mesh Insert Cut Out Skater D,Woven: Body 100.00% Polyester.,sarahcarter@aol.com,685823118,3169726681,4597724331,WU00001636,2,ECCF,Retailer3,RET2,1.61,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,USD,US_97134546,01-03-2026,JFK,12345688.pdf,35.35,7,29,21,DDP,12345,561479973,695-11090645,LHR,E170
12345689,James Stefanello,473 Cedar Ave,.,Pasadena,CA,91101,US,1,3.03,Womans Bafs,106.36,IN,6103410000,3.03,1,Wool Pocket Carrot Trousers,Knitted: Fabric 50.0% Wool; 30.0% Viscose,jamesstefanello@gmail.com,890880074,5860851904,7197239148,WU00001637,1,ECCF,Retailer3,RET3,3.03,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134546,04-28-2026,JFK,12345689.pdf,35.07,16,32,24,DDP,12345,386480450,695-11090645,LHR,E170
12345690,Emily Mitchell,993 Main Ave,.,Queens,NY,11375,US,1,1.64,Womens Bags,116.19,VN,4202290000,0.41,2,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,emilymitchell@yahoo.com,788785773,2955345537,9802180048,WU00001638,1,CFS,Retailer1,RET1,1.64,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,USD,US_97134546,07-11-2026,JFK,12345690.pdf,23.17,22,31,24,DDU,12345,129635852,695-11090645,LHR,E170
12345690,Emily Mitchell,993 Main Ave,.,Queens,NY,11375,US,1,1.64,Womens Bags,105.86,IN,4202290000,0.41,2,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,emilymitchell@yahoo.com,723403479,2955345537,9802180048,WU00001638,2,CFS,Retailer1,RET1,1.64,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,USD,US_97134546,07-11-2026,JFK,12345690.pdf,23.17,14,8,6,DDU,12345,471178705,695-11090645,LHR,E170
12345691,Melissa Coleman,720 3rd Ave,.,Queens,NY,11375,US,1,0.3,Womens Bags,87.77,VN,4202290000,0.15,2,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,melissacoleman@gmail.com,816070802,7949369059,4476426797,WU00001639,1,CFS,Retailer2,RET2,0.3,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,USD,US_97134546,11-11-2026,JFK,12345691.pdf,6.51,19,26,15,DDU,12345,695295870,695-11090645,LHR,E170
12345692,James Hughes,780 2nd Ave,.,Queens,NY,11375,US,1,3.77,Mens Jacket,82.7,BD,6201930000,1.26,3,Padded Bomber Jacket,Woven: Shell 100.0% Nylon; Lining 100.0% Polyester,jameshughes@aol.com,952266893,8938583727,3292569882,WU00001640,1,CFS,Retailer2,RET3,3.77,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,EUR,US_97134546,11-11-2026,JFK,12345692.pdf,68.73,29,16,24,DDP,12345,404713332,695-11090645,LHR,E170
12345693,Kevin Henderson,195 Cedar Ave,.,Naperville,IL,60540,US,1,0.75,Womens Shoes,61.85,IN,6403990000,0.75,1,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,kevinhenderson@aol.com,804436922,4889635392,7259791615,WU00001641,1,ECCF,Retailer3,RET1,0.75,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,GBP,US_97134546,07-21-2026,JFK,12345693.pdf,15.5,28,6,6,DDU,12345,334978881,695-11090645,LHR,E170
12345694,Emily Washington,151 3rd Ave,.,Anaheim,CA,92801,US,1,3.04,Mens Jacket,108.18,BD,6201930000,0.34,3,Padded Bomber Jacket,Woven: Shell 100.0% Nylon; Lining 100.0% Polyester,emilywashington@aol.com,583258726,2521231222,6867654369,WU00001642,1,ECCF,Retailer2,RET3,3.04,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,EUR,US_97134546,07-27-2026,JFK,12345694.pdf,84.97,14,21,23,DDU,12345,922286180,695-11090645,LHR,E170
12345694,Emily Washington,151 3rd Ave,.,Anaheim,CA,92801,US,1,3.04,Mens Jacket,77.08,BD,6201930000,0.51,2,Padded Bomber Jacket,Woven: Shell 100.0% Nylon; Lining 100.0% Polyester,emilywashington@aol.com,183197117,2521231222,6867654369,WU00001642,2,ECCF,Retailer2,RET3,3.04,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,EUR,US_97134546,07-27-2026,JFK,12345694.pdf,84.97,28,24,10,DDU,12345,460613550,695-11090645,LHR,E170
12345694,Emily Washington,151 3rd Ave,.,Anaheim,CA,92801,US,1,3.04,Kids Tshirt,107.7,IN,6109100000,1.01,1,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,emilywashington@aol.com,261953189,2521231222,6867654369,WU00001642,3,ECCF,Retailer2,RET3,3.04,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,EUR,US_97134546,07-27-2026,JFK,12345694.pdf,84.97,13,30,25,DDP,12345,858511779,695-11090645,LHR,E170
12345695,Robert Dwyer,517 Elm Ave,.,Queens,NY,11375,US,1,1.81,Womens Shoes,103.15,IN,6403990000,0.45,2,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,robertdwyer@yahoo.com,624232414,3785736751,7183314236,WU00001643,1,CFS,Retailer3,RET2,1.81,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,GBP,US_97134546,01-12-2026,JFK,12345695.pdf,26.37,13,23,16,DDU,12345,131165166,695-11090645,LHR,E170
12345695,Robert Dwyer,517 Elm Ave,.,Queens,NY,11375,US,1,1.81,Womens Shoes,43.65,BD,6403990000,0.3,3,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,robertdwyer@yahoo.com,877583839,3785736751,7183314236,WU00001643,2,CFS,Retailer3,RET2,1.81,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,GBP,US_97134546,01-12-2026,JFK,12345695.pdf,26.37,11,35,7,DDP,12345,523076025,695-11090645,LHR,E170
12345696,Brian Simmons,127 Main Ave,.,Torrance,CA,90501,US,1,1.24,Womens Shoes,34.01,BD,6403990000,1.24,1,Leather Ankle Boot Block Heel,Non Clothing: Upper Leather; Sole Rubber,briansimmons@yahoo.com,120812641,6877792136,3982979741,WU00001644,1,ECCF,Retailer2,RET2,1.24,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,GBP,US_97134546,05-25-2026,JFK,12345696.pdf,35.87,29,40,4,DDU,12345,340756713,695-11090645,LHR,E170
12345697,Jason Dwyer,141 Cedar Ave,.,Torrance,CA,90501,US,1,2.83,Kids Tshirt,24.3,CN,6109100000,0.94,3,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,jasondwyer@gmail.com,935147672,6078551333,7151214901,WU00001645,1,ECCF,Retailer3,RET1,2.83,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,EUR,US_97134546,04-15-2026,JFK,12345697.pdf,66.19,11,25,6,DDP,12345,434961542,695-11090645,LHR,E170
12345698,Brian Powell,832 Oak Ave,.,Queens,NY,11375,US,1,0.55,Womens Bags,63.19,CN,4202290000,0.14,2,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,brianpowell@gmail.com,551034639,8838008244,9862245287,WU00001646,1,CFS,Retailer3,RET1,0.55,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134546,09-14-2026,JFK,12345698.pdf,12.4,21,12,16,DDU,12345,782454310,695-11090645,LHR,E170
12345698,Brian Powell,832 Oak Ave,.,Queens,NY,11375,US,1,0.55,Mens Jacket,86.34,IN,6201930000,0.14,2,Padded Bomber Jacket,Woven: Shell 100.0% Nylon; Lining 100.0% Polyester,brianpowell@gmail.com,887906704,8838008244,9862245287,WU00001646,2,CFS,Retailer3,RET1,0.55,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134546,09-14-2026,JFK,12345698.pdf,12.4,22,23,22,DDU,12345,599154414,695-11090645,LHR,E170
12345699,Nicole Simmons,430 Cedar Ave,.,Pasadena,CA,91101,US,1,1.17,Kids Tshirt,96.75,VN,6109100000,0.58,2,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,nicolesimmons@aol.com,740116562,9862929827,2372214308,WU00001647,1,ECCF,Retailer2,RET1,1.17,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,GBP,US_97134546,06-06-2026,JFK,12345699.pdf,21.91,28,23,20,DDP,12345,654724287,695-11090645,LHR,E170
12345700,Robert Dwyer,837 2nd Ave,.,Brooklyn,NY,11201,US,1,2.94,Kids Tshirt,59.42,VN,6109100000,0.98,3,Graphic Print Crew Neck Tee,Knitted: Fabric 100.0% Cotton,robertdwyer@yahoo.com,556881239,8679430948,7327150729,WU00001648,1,CFS,Retailer1,RET2,2.94,Retailer 2,Retailer,Ret street,Ret city,.,RT2 AIL,CN,USD,US_97134547,07-23-2026,LAX,12345700.pdf,39.26,29,27,14,DDU,12345,390894296,695-11090645,LHR,E170
12345701,Ashley Reed,223 Park Ave,.,Brooklyn,NY,11201,US,1,0.91,Womens Bags,100.75,IN,4202290000,0.46,2,Mesh Insert Cut Out Skater,Non Clothing: Main: 100.00% Polyurethane,ashleyreed@aol.com,487493096,3355268102,9485617162,WU00001649,1,ECCF,Retailer2,RET3,0.91,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,EUR,US_97134547,09-20-2026,LAX,12345701.pdf,12.95,11,25,3,DDP,12345,394539550,695-11090645,LHR,E170
12345702,Gary Stefanello,399 Park Ave,.,Evanston,IL,60201,US,1,3.94,Mens Jacket,18.12,BD,6201930000,1.97,1,Padded Bomber Jacket,Woven: Shell 100.0% Nylon; Lining 100.0% Polyester,garystefanello@aol.com,628008852,9034596598,5233217762,WU00001650,1,ECCF,Retailer2,RET2,3.94,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134547,03-02-2026,LAX,12345702.pdf,53.4,8,9,7,DDP,12345,970957171,695-11090645,LHR,E170
12345702,Gary Stefanello,399 Park Ave,.,Evanston,IL,60201,US,1,3.94,Mens Shirt,14.8,CN,6205200000,1.97,1,Oxford Button Down Shirt,Woven: Body 100.0% Cotton,garystefanello@aol.com,699226355,9034596598,5233217762,WU00001650,2,ECCF,Retailer2,RET2,3.94,Retailer 1,Retailer,Ret street,Ret city,.,RT1 AIL,CN,USD,US_97134547,03-02-2026,LAX,12345702.pdf,53.4,30,32,22,DDP,12345,932894596,695-11090645,LHR,E170
12345703,Kevin Powell,553 Elm Ave,.,Anaheim,CA,92801,US,1,4.32,Womans Bafs,68.48,CN,6103410000,4.32,1,Wool Pocket Carrot Trousers,Knitted: Fabric 50.0% Wool; 30.0% Viscose,kevinpowell@yahoo.com,538642403,7606565445,4667292043,WU00001651,1,CFS,Retailer3,RET1,4.32,Retailer 3,Retailer,Ret street,Ret city,.,RT3 AIL,IN,USD,US_97134547,11-03-2026,LAX,12345703.pdf,49.49,20,36,12,DDP,12345,348545713,695-11090645,LHR,E170
